Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,2,0,555
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,3,42660,384
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,4,16980,367
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,5,31080,339
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,6,12060,289
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,7,19100,286
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,8,26420,285
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,9,40140,250
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,10,14460,250
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,11,17140,234
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,12,33100,189
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,13,29820,181
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,14,47900,180
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,15,19740,179
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,16,33460,177
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,17,38060,168
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,18,41860,158
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,19,37980,135
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,20,41940,126
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,1,72023,553
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,2,82023,550
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,3,92023,544
